value,step,phi
96,6120,0.548575
96,6140,0.957119
96,6160,0.985701
96,6180,0.991119
96,6200,0.991898
96,6220,0.992367
96,6240,0.991797
96,6260,0.991239
96,6280,0.991785
96,6300,0.990759
96,6320,0.964133
96,6340,0.889372
96,6360,0.770512
96,6380,0.965959
96,6400,0.988449
96,6420,0.991127
96,6440,0.990689
96,6460,0.992025
96,6480,0.992712
96,6500,0.993030
96,6520,0.978105
96,6540,0.913300
96,6560,0.767168
96,6580,0.618047
96,6600,0.882368
96,6620,0.987391
96,6640,0.992393
96,6660,0.993332
96,6680,0.993507
96,6700,0.992123
96,6720,0.991626
96,6740,0.990424
96,6760,0.991195
96,6780,0.962789
96,6800,0.915696
96,6820,0.464617
96,6840,0.947941
96,6860,0.986692
96,6880,0.989534
96,6900,0.992759
96,6920,0.992575
96,6940,0.992483
96,6960,0.992783
96,6980,0.992358
96,7000,0.991536
96,7020,0.992157
96,7040,0.991803
96,7060,0.991995
96,7080,0.850249
96,7100,0.894643
96,7120,0.984622
96,7140,0.989356
96,7160,0.992326
96,7180,0.992860
96,7200,0.993119
96,7220,0.992704
96,7240,0.861642
96,7260,0.821056
96,7280,0.797665
96,7300,0.729503
96,7320,0.983847
96,7340,0.990765
96,7360,0.993257
96,7380,0.993766
96,7400,0.993006
96,7420,0.990581
96,7440,0.991186
96,7460,0.992126
96,7480,0.991796
96,7500,0.992146
96,7520,0.992841
96,7540,0.992823
96,7560,0.992916
96,7580,0.950979
96,7600,0.941311
96,7620,0.892874
96,7640,0.982635
96,7660,0.989137
96,7680,0.991659
96,7700,0.992919
96,7720,0.973819
96,7740,0.902776
96,7760,0.434967
96,7780,0.878283
96,7800,0.988457
96,7820,0.992633
96,7840,0.992589
96,7860,0.992683
96,7880,0.992286
96,7900,0.991876
96,7920,0.991985
96,7940,0.990942
96,7960,0.989730
96,7980,0.990089
96,8000,0.965216
96,8020,0.962637
96,8040,0.948617
96,8060,0.748358
96,8080,0.957280
96,8100,0.984596
96,8120,0.988833
96,8140,0.992820
96,8160,0.993485
96,8180,0.765424
96,8200,0.880027
96,8220,0.984022
96,8240,0.988146
96,8260,0.991330
96,8280,0.992139
96,8300,0.991650
96,8320,0.992204
96,8340,0.993236
96,8360,0.993546
96,8380,0.992632
96,8400,0.991716
96,8420,0.992533
96,8440,0.993175
96,8460,0.975295
96,8480,0.894449
96,8500,0.916563
96,8520,0.983116
96,8540,0.943105
96,8560,0.724988
96,8580,0.955729
96,8600,0.988985
96,8620,0.993406
96,8640,0.900966
96,8660,0.422170
96,8680,0.969107
96,8700,0.986532
96,8720,0.989534
96,8740,0.992390
96,8760,0.992467
96,8780,0.991873
96,8800,0.991752
96,8820,0.992643
96,8840,0.993435
96,8860,0.993202
96,8880,0.991867
96,8900,0.991273
96,8920,0.991494
96,8940,0.991685
96,8960,0.992102
96,8980,0.965713
192,0,0.058735
192,20,0.108126
192,40,0.153416
192,60,0.199866
192,80,0.233541
192,100,0.352657
192,120,0.494892
192,140,0.575898
192,160,0.628504
192,180,0.699785
192,200,0.695039
192,220,0.523822
192,240,0.761183
192,260,0.692529
192,280,0.482845
192,300,0.250333
192,320,0.222707
192,340,0.264100
192,360,0.298162
192,380,0.548099
192,400,0.633147
192,420,0.648012
192,440,0.646024
192,460,0.645383
192,480,0.607863
192,500,0.584398
192,520,0.560534
192,540,0.475279
192,560,0.281180
192,580,0.274774
192,600,0.278738
192,620,0.686858
192,640,0.927382
192,660,0.910500
192,680,0.829848
192,700,0.865329
192,720,0.811332
192,740,0.824812
192,760,0.763391
192,780,0.770203
192,800,0.725207
192,820,0.772192
192,840,0.807816
192,860,0.841532
192,880,0.902328
192,900,0.927134
192,920,0.918018
192,940,0.944083
192,960,0.506440
192,980,0.807204
192,1000,0.974537
192,1020,0.991849
192,1040,0.894906
192,1060,0.355354
192,1080,0.875483
192,1100,0.986476
192,1120,0.991565
192,1140,0.993554
192,1160,0.993040
192,1180,0.992655
192,1200,0.992508
192,1220,0.993202
192,1240,0.992904
192,1260,0.963378
192,1280,0.869164
192,1300,0.768181
